종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"395290","HANARO Fn K-POP&미디어","8695","120","1.40","8720.78","8610","8790","8610","276078","2406875003","78255000000","78486988750","9000000","FnGuide K-POP & 미디어 지수","832.81","10.64","1.29"
"395280","HANARO Fn K-게임","3925","-20","-0.51","3911.20","3960","3960","3860","26693","104569075","11775000000","11733592860","3000000","FnGuide K-게임 지수","759.82","-9.43","-1.23"
"368190","HANARO Fn K-뉴딜디지털플러스","8885","25","0.28","8855.84","8880","8895","8825","22839","202256410","38205500000","38080109521","4300000","FnGuide K-뉴딜 디지털 플러스 지수","2133.57","5.13","0.24"
"402460","HANARO Fn K-메타버스MZ","8765","85","0.98","8743.80","8690","8765","8690","7801","68139995","6135500000","6120659613","700000","FnGuide K-메타버스 MZ 지수(시장가격)","1403.17","5.78","0.41"
"395270","HANARO Fn K-반도체","24440","270","1.12","24451.94","23925","24440","23760","5527373","133142034489","868842000000","893718432743","35550000","FnGuide K-반도체 지수","7316.74","79.66","1.10"
"438900","HANARO Fn K-푸드","11530","-100","-0.86","11551.84","11640","11670","11465","51524","595829118","19024500000","19638129943","1650000","FnGuide K-푸드 지수 (시장가격)","889.06","-4.92","-0.55"
"367740","HANARO Fn5G산업","22795","55","0.24","22877.15","22610","22795","22560","373","8445560","12537250000","12582433728","550000","FnGuide 5G 산업 지수","3873.64","33.34","0.87"
"407300","HANARO Fn골프테마","10620","55","0.52","10664.04","10465","10650","10465","1409","14891320","5841000000","5865220704","550000","FnGuide 골프 테마 지수","1119.72","13.21","1.19"
"381560","HANARO Fn전기&수소차","11370","170","1.52","11390.72","11200","11380","11140","39498","446223211","17055000000","15947013542","1500000","FnGuide 전기&수소차 지수 (시장가격)","2585.52","37.08","1.46"
"441540","HANARO Fn조선해운","33605","755","2.30","33734.56","33325","33920","32990","104892","3529302445","126018750000","126504600181","3750000","FnGuide 조선해운지수","5556.88","145.68","2.69"
"381570","HANARO Fn친환경에너지","9060","160","1.80","9102.52","8945","9105","8880","16790","150624615","7248000000","7282016186","800000","FnGuide 친환경에너지 지수 (시장가격)","1755.93","41.26","2.41"
"479850","HANARO K-뷰티","14355","-20","-0.14","14367.77","14385","14515","14285","61814","888249105","53831250000","54597511108","3750000","FnGuide K-뷰티 지수","564.00","-1.27","-0.22"
"453060","HANARO KOFR금리액티브(합성)","109620","30","0.03","109609.47","109610","109620","109610","237","25977580","12058200000","12057041158","110000","KOFR 지수","1177.99","0.08","0.01"
"304760","HANARO KRX300","31505","665","2.16","31434.58","30900","31505","30840","1189","36940930","12602000000","12573831845","400000","KRX 300","3118.62","45.73","1.49"
"322410","HANARO K고배당","19450","285","1.49","19503.56","19300","19475","19160","29851","578811387","26257500000","26329811003","1350000","FnGuide 고배당 알파 지수","2911.13","37.33","1.30"
"332940","HANARO MSCI Korea TR","30445","685","2.30","30370.56","29815","30445","29760","2931","88193470","73068000000","72889341305","2400000","MSCI Korea TR Index","3073.03","47.69","1.58"
"322400","HANARO e커머스","12170","-195","-1.58","12225.20","12355","12430","12170","16127","198681635","55373500000","55624645961","4550000","FnGuide E커머스 지수","2089.78","-24.57","-1.16"
"473640","HANARO 글로벌금채굴기업","36815","-620","-1.66","36846.29","37210","37210","36390","157124","5805823452","86515250000","86588780929","2350000","NYSE Arca Gold Miners Index (Price Return)","2762.08","4.91","0.18"
"354350","HANARO 글로벌럭셔리S&P(합성)","22940","-235","-1.01","23038.38","23175","23175","22935","618","14185940","17663800000","17739550992","770000","S&P Global Luxury Index","4742.53","-44.78","-0.94"
"461340","HANARO 글로벌생성형AI액티브","29190","-380","-1.29","29126.39","29475","29475","28845","17504","508506609","46704000000","46602231138","1600000","Solactive United States Technology 100 Index(Price Return)","16055.97","46.78","0.29"
"424460","HANARO 글로벌워터MSCI(합성)","16140","130","0.81","16139.01","16010","16165","16010","227","3659390","9684000000","9683408544","600000","MSCI ACWI IMI Water ESG Filtered (Price Return)","2506.24","31.55","1.28"
"401590","HANARO 글로벌탄소배출권선물ICE(합성)","13075","120","0.93","13124.49","13005","13090","12975","19085","248598295","6668250000","6693491866","510000","ICE Global Carbon Futures Index(Excess Return)","736.73","-1.64","-0.22"
"0040S0","HANARO 글로벌피지컬AI액티브","17520","-180","-1.02","17338.61","17570","17570","17285","134171","2330838494","30660000000","30342564303","1750000","Solactive Physical AI Index","16081.76","30.74","0.19"
"314700","HANARO 농업융복합산업","10985","45","0.41","10979.27","10950","10985","10910","2709","29626525","6041750000","6038598228","550000","FnGuide 농업융복합산업 지수(시장가격)","1362.75","3.18","0.23"
"486830","HANARO 머니마켓액티브","52270","0","0.00","52266.21","52280","52280","52270","4797","250766770","50179200000","50175557769","960000","KIS-NH Amundi MMF지수","117.82","0.01","0.01"
"432840","HANARO 미국S&P500","19015","-115","-0.60","18985.66","18930","19035","18875","3609","68418780","15212000000","15188531229","800000","S&P 500","6944.47","17.87","0.26"
"498050","HANARO 바이오코리아액티브","15860","70","0.44","15851.76","15935","16005","15750","45070","714559145","16653000000","16644348824","1050000","iSelect K-바이오헬스케어","1457.90","7.52","0.52"
